,prices,locations,other
1127,R$ 980.000,Madalena,4quartos2suítes1banheiro 3vagas223m²
1128,R$ 980.000,Monteiro,3quartos3suítes1banheiro 2vagas191m²
1129,R$ 980.000Preço de locaçãoSob consulta,Encruzilhada,4quartos2suítes1banheiro 3vagas320m²
1130,R$ 990.000,Apipucos,4quartos2suítes1banheiro 2vagas140m²
1131,R$ 990.000,Boa Viagem,"4quartos2suítes4banheiros2vagas146,94m²"
1132,R$ 990.000,Boa Viagem,"5quartos2suítes4banheiros2vagas146,94m²"
1133,R$ 990.000R$ 3.000/mês,Parnamirim,3quartos3suítes3banheiros2vagas177m²
1134,R$ 1.000.000,Madalena,4quartos2suítes1banheiro 3vagas220m²
1135,R$ 1.000.000,Casa Amarela,4quartos2suítes4banheiros3vagas308m²
1136,R$ 1.000.000,Rosarinho,2quartos1suíte4banheiros2vagas218m²
1137,Preço de vendaSob consultaR$ 2.000/mês,Espinheiro,"4quartos2suítes3banheiros2vagas159,20m²"
1138,R$ 1.020.000,Boa Viagem,4quartos2suítes4banheiros136m²
1139,R$ 1.030.000,Boa Viagem,4quartos2suítes5banheiros2vagas137m²
1140,R$ 1.035.000,Boa Vista,4quartos4suítes5banheiros3vagas208m²
1141,R$ 1.035.000,Boa Vista,4quartos4suítes5banheiros3vagas208m²
1142,R$ 1.050.000,Encruzilhada,4quartos4suítes4banheiros2vagas150m²
1143,R$ 1.050.000,Boa Viagem,4quartos2suítes3banheiros3vagas164m²
1144,R$ 1.050.000,Recife,4quartos2suítes4banheiros2vagas132m²
1145,R$ 1.050.000,Espinheiro,4quartos4suítes4banheiros3vagas180m²
1146,R$ 1.050.000,Boa Viagem,"4quartos2suítes3banheiros2vagas146,94m²"
1147,R$ 1.050.000,Boa Viagem,"4quartos2suítes4banheiros2vagas146,94m²"
1148,R$ 1.066.557,Monteiro,4quartos4suítes5banheiros3vagas165m²
1149,R$ 1.066.557,Casa Forte,4quartos4suítes5banheiros3vagas165m²
1150,R$ 1.070.000,Boa Viagem,"3quartos1suíte1banheiro 318,43m²"
1151,R$ 1.070.000,Boa Viagem,"3quartos1suíte1banheiro 318,43m²"
1152,R$ 1.080.000,Boa Viagem,4quartos2suítes4banheiros2vagas128m²
1153,R$ 1.090.000,Pina,4quartos2suítes4banheiros2vagas123m²
1154,R$ 1.093.000,Boa Vista,"3quartos3suítes5banheiros2vagas127,23m²"
1155,R$ 1.100.000,Boa Viagem,"4quartos2suítes3banheiros2vagas146,94m²"
1156,R$ 1.100.000,Pina,4quartos2suítes4banheiros2vagas120m²
1157,R$ 1.100.000,Apipucos,4quartos4suítes1banheiro 3vagas158m²
