,prices,locations,other
2105,R$ 140.000,"Jaboatão dos Guararapes, Socorro",4 quartos | 204m² | 3 vagas
2106,R$ 210.000,Ipojuca,2 quartos | 46m² | 1 vaga
2107,R$ 1.250.000,"Recife, Casa Forte",3 quartos | 105m² | Condomínio: R$ 800 | 2 vagas
2108,R$ 122.000,"Recife, Pina",3 quartos | 63m² | Condomínio: R$ 560 | 1 vaga
2109,R$ 740.000R$ 750.000,"Recife, Pina",4 quartos | 187m² | Condomínio: R$ 950 | 2 vagas
2110,R$ 70.000,"Recife, Várzea",2 quartos | 90m² | Condomínio: R$ 650 | 1 vaga
2111,R$ 960.000,"Recife, Boa Viagem",2 quartos | 95m² | Condomínio: R$ 660 | 1 vaga
2112,R$ 650.000,"Recife, Boa Viagem",4 quartos | 174m² | Condomínio: R$ 1.500 | 3 vagas
2113,R$ 400.000,"Jaboatão dos Guararapes, Candeias",2 quartos | 53m² | 1 vaga
2114,R$ 1.600.000,"Recife, Boa Viagem",3 quartos | 70m² | 2 vagas
2115,R$ 252.000,"Recife, Caxangá",2 quartos | 57m² | 1 vaga
2116,R$ 320.000,"Jaboatão dos Guararapes, Piedade",4 quartos | 220m² | 4 vagas
2117,R$ 298.000,"Recife, Boa Vista",2 quartos | 50m² | 1 vaga
2118,R$ 1.500.000,"Recife, Casa Forte",3 quartos | 64m² | 1 vaga
2119,R$ 250.223,"Recife, Zumbi",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2120,R$ 550.450,"Recife, Boa Viagem",2 quartos | 57m² | Condomínio: R$ 305 | 1 vaga
2121,R$ 143.199,"Jaboatão dos Guararapes, Barra de Jangada",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2122,R$ 279.000,"Recife, Santo Amaro",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2123,R$ 144.090,"Jaboatão dos Guararapes, Barra de Jangada",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2124,R$ 145.305,"Jaboatão dos Guararapes, Barra de Jangada",2 quartos | 50m² | 1 vaga
2125,R$ 146.280,"Jaboatão dos Guararapes, Barra de Jangada",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2126,R$ 121.500,Ipojuca,2 quartos | 45m² | 1 vaga
2127,R$ 147.330,"Jaboatão dos Guararapes, Barra de Jangada",2 quartos | 52m² | Condomínio: R$ 280 | 1 vaga
2128,R$ 199.000,"Recife, Boa Viagem",3 quartos | 64m² | 1 vaga
2129,R$ 249.555,"Recife, Santo Amaro",3 quartos | 99m² | 1 vaga
2130,R$ 169.800,"Paulista, Centro",2 quartos | 44m² | Condomínio: R$ 300 | 1 vaga
2131,R$ 771.000,"Olinda, Casa Caiada",2 quartos | 45m² | Condomínio: R$ 1 | 1 vaga
2132,R$ 258.923,"Recife, Torre",2 quartos | 57m² | Condomínio: R$ 400 | 1 vaga
2133,R$ 139.189,"Camaragibe, Santa Mônica",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2134,R$ 365.000,"Recife, Recife",2 quartos | 50m² | Condomínio: R$ 150 | 1 vaga
2135,R$ 115.097,"Paulista, Janga",3 quartos | 57m² | Condomínio: R$ 1 | 1 vaga
2136,R$ 145.000,"Recife, Pina",2 quartos | 45m² | Condomínio: R$ 1 | 1 vaga
2137,R$ 179.558,"Paulista, Centro",2 quartos | 46m² | Condomínio: R$ 1 | 1 vaga
2138,R$ 140.067,"Paulista, Centro",3 quartos | 64m² | 1 vaga
2139,R$ 188.092,"Recife, Tejipió",4 quartos | 165m² | 3 vagas
2140,R$ 259.733,"Paulista, Janga",1 quarto | 25m²
2141,R$ 1.334.000,"Recife, Casa Forte",2 quartos | 43m² | 1 vaga
2142,,"Recife, Boa Viagem",2 quartos | 61m² | 1 vaga
2143,R$ 145.000,"Paulista, Maranguape I",3 quartos | 82m² | Condomínio: R$ 500 | 1 vaga
2144,R$ 235.000,Ipojuca,3 quartos | 122m² | 2 vagas
2145,R$ 380.000,"Recife, Boa Viagem",4 quartos | 181m² | 3 vagas
2146,R$ 817.000,"Recife, Casa Forte",4 quartos | 181m² | 3 vagas
2147,R$ 840.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",2 quartos | 42m² | Condomínio: R$ 0 | 1 vaga
2148,R$ 840.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",1 quarto | 39m² | 1 vaga
2149,R$ 155.000,"Jaboatão dos Guararapes, Engenho Velho",4 quartos | 212m² | 3 vagas
2150,R$ 198.000,"Jaboatão dos Guararapes, Candeias",2 quartos | 56m² | 1 vaga
2151,R$ 980.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",2 quartos | 49m² | Condomínio: R$ 170 | 1 vaga
2152,R$ 235.000,Ipojuca,2 quartos | 46m² | Condomínio: R$ 0 | 1 vaga
2153,R$ 124.500,"São Lourenço da Mata, Muribara",1 quarto | 40m² | Condomínio: R$ 0 | 1 vaga
2154,R$ 124.000,"São Lourenço da Mata, Muribara",2 quartos | 49m² | 1 vaga
2155,R$ 190.000,"Jaboatão dos Guararapes, Barra de Jangada",4 quartos | 238m² | 4 vagas
2156,R$ 124.500,"São Lourenço da Mata, Muribara",4 quartos | 123m² | 2 vagas
2157,R$ 2.400.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",3 quartos | 115m² | Condomínio: R$ 1.180 | 1 vaga
2158,R$ 940.647,"Recife, Madalena",4 quartos | 171m² | 3 vagas
2159,R$ 650.000,"Recife, Boa Viagem",3 quartos | 73m² | Condomínio: R$ 600 | 1 vaga
2160,R$ 1.400.000,"Cabo de Santo Agostinho, Paiva",2 quartos | 46m² | Condomínio: R$ 410 | 1 vaga
2161,R$ 399.000,"Recife, Boa Viagem",4 quartos | 181m² | 3 vagas
2162,R$ 280.000,"Recife, Boa Viagem",4 quartos | 170m² | Condomínio: R$ 1.600 | 2 vagas
2163,R$ 840.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",3 quartos | 107m² | Condomínio: R$ 660 | 2 vagas
2164,R$ 1.400.000,"Recife, Boa Viagem",4 quartos | 212m² | 3 vagas
2165,R$ 730.000,"Recife, Boa Viagem",2 quartos | 53m² | Condomínio: R$ 398 | 1 vaga
2166,R$ 1.020.000,"Cabo de Santo Agostinho, Paiva",4 quartos | 434m² | 4 vagas
2167,R$ 179.926,"Paulista, Janga",3 quartos | 113m² | 2 vagas
2168,R$ 1.800.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",4 quartos | 150m² | 2 vagas
2169,R$ 650.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",3 quartos | 113m² | 2 vagas
2170,R$ 699.500R$ 750.000,"Olinda, Casa Caiada",2 quartos | 47m² | 1 vaga
2171,R$ 699.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",2 quartos | 45m² | 1 vaga
2172,R$ 186.000,"Recife, Barro",3 quartos | 64m² | Condomínio: R$ 500 | 1 vaga
2173,R$ 135.000,"Paulista, Janga",2 quartos | 44m² | Condomínio: R$ 300 | 1 vaga
2174,R$ 320.000,"Recife, Encruzilhada",4 quartos | 212m² | 3 vagas
2175,R$ 289.001,"Recife, Torre",3 quartos | 113m² | 2 vagas
2176,R$ 980.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",4 quartos | 2 vagas
2177,R$ 650.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",2 quartos | 60m² | 1 vaga
2178,R$ 800.000,"Recife, Boa Viagem",2 quartos | 44m² | Condomínio: R$ 300 | 1 vaga
2179,R$ 670.000,Ipojuca,4 quartos | 207m²
2180,R$ 250.001,"Recife, Torre",2 quartos | 55m² | 1 vaga
2181,R$ 2.000.000,"Recife, Boa Viagem",3 quartos | 215m² | 2 vagas
2182,R$ 235.014,"Jaboatão dos Guararapes, Cajueiro Seco",2 quartos | 44m² | Condomínio: R$ 300 | 1 vaga
2183,R$ 1.300.000,"Recife, Boa Viagem",1 quarto | 39m² | 1 vaga
2184,R$ 239.050,"Recife, Torre",3 quartos | 158m² | 3 vagas
2185,R$ 359.931,"Recife, São José",3 quartos | 100m² | Condomínio: R$ 800 | 1 vaga
2186,R$ 3.350.000,"Recife, Boa Viagem",3 quartos | 63m² | Condomínio: R$ 560 | 1 vaga
2187,R$ 255.000,"Recife, Madalena",1 quarto | 45m² | Condomínio: R$ 480 | 1 vaga
2188,R$ 310.000,"Recife, Várzea",3 quartos | 66m² | Condomínio: R$ 350 | 1 vaga
2189,R$ 250.000,"Recife, Boa Viagem",4 quartos | 123m² | 1 vaga
2190,R$ 322.000,"Jaboatão dos Guararapes, Piedade",3 quartos | 54m² | 1 vaga
2191,R$ 320.000R$ 400.000,"Recife, Encruzilhada",2 quartos | 72m² | Condomínio: R$ 550 | 1 vaga
2192,R$ 102.000,Jaboatão dos Guararapes,2 quartos | 53m² | Condomínio: R$ 0 | 1 vaga
2193,R$ 500.000,"Recife, Pina",1 quarto | 32m² | 1 vaga
2194,R$ 151.900,"Jaboatão dos Guararapes, Candeias",2 quartos | Condomínio: R$ 370
2195,R$ 270.000,"Recife, Boa Viagem",2 quartos | 50m² | 1 vaga
2196,R$ 150.000,"Olinda, Rio Doce",3 quartos | 228m² | Condomínio: R$ 300 | 1 vaga
2197,R$ 298.990R$ 299.000,"Recife, Casa Amarela",3 quartos | 93m² | Condomínio: R$ 800 | 2 vagas
2198,R$ 420.000,"Paulista, Janga",4 quartos | 120m² | 2 vagas
2199,R$ 750.000,"Recife, Boa Viagem",4 quartos | 120m² | 2 vagas
2200,R$ 1.080.017,"Recife, Pina",2 quartos | Condomínio: R$ 0 | 1 vaga
2201,R$ 1.080.017,"Recife, Pina",3 quartos | 76m² | 1 vaga
2202,R$ 135.000,Paulista,3 quartos | 160m² | Condomínio: R$ 1.050 | 3 vagas
2203,R$ 189.000,"Paulista, Centro",4 quartos | 155m² | Condomínio: R$ 1.250 | 3 vagas
2204,R$ 1.600.000,"Recife, Pina",4 quartos | 225m² | Condomínio: R$ 1.100 | 3 vagas
2205,R$ 1.100.000,"Recife, Boa Viagem",4 quartos | 230m² | Condomínio: R$ 960 | 2 vagas
2206,R$ 1.380.000,"Recife, Boa Viagem",4 quartos | 205m² | Condomínio: R$ 810 | 3 vagas
2207,R$ 800.000,"Recife, Boa Viagem",3 quartos | 80m² | Condomínio: R$ 535 | 1 vaga
2208,R$ 2.600.000R$ 2.800.000,"Recife, Pina",2 quartos | 0m² | 1 vaga
2209,R$ 490.000R$ 500.000,"Recife, Boa Viagem",4 quartos | 158m² | Condomínio: R$ 550 | 1 vaga
2210,R$ 190.008,"Recife, Várzea",4 quartos | 136m² | Condomínio: R$ 1.060 | 2 vagas
2211,R$ 350.000,"Jaboatão dos Guararapes, Candeias",2 quartos | 52m² | Condomínio: R$ 396 | 1 vaga
2212,R$ 750.000,"Recife, Boa Viagem",3 quartos | 64m² | Condomínio: R$ 485 | 1 vaga
2213,R$ 252.000,"Recife, Caxangá",3 quartos | 121m² | Condomínio: R$ 670 | 2 vagas
2214,R$ 340.400,"Recife, Caxangá",1 quarto | 33m² | 1 vaga
2215,R$ 808.200R$ 830.000,"Recife, Boa Vista",4 quartos | 120m² | 2 vagas
2216,R$ 255.000,"Recife, Graças",2 quartos | 46m² | Condomínio: R$ 0 | 2 vagas
2217,R$ 600.000,"Recife, Boa Viagem",2 quartos | 45m² | Condomínio: R$ 1 | 1 vaga
2218,R$ 190.665,"Recife, Caxangá",2 quartos | 48m² | 1 vaga
2219,R$ 129.876,"Jaboatão dos Guararapes, Dois Carneiros",2 quartos | 49m² | Condomínio: R$ 0 | 1 vaga
2220,R$ 122.000,"Jaboatão dos Guararapes, Dois Carneiros",2 quartos | 49m² | 1 vaga
2221,R$ 122.600,"São Lourenço da Mata, Muribara",4 quartos | 163m² | 3 vagas
2222,R$ 132.000,"Jaboatão dos Guararapes, Candeias",3 quartos | 70m² | 1 vaga
2223,R$ 1.501.247,"Recife, Boa Viagem",2 quartos | 0m² | 1 vaga
2224,R$ 300.000,"Recife, Tamarineira",1 quarto | 37m² | 1 vaga
2225,R$ 281.914,"Recife, Santo Amaro",2 quartos | 1 vaga
2226,R$ 235.000,"Recife, Madalena",2 quartos | 73m² | 2 vagas
2227,R$ 150.000,"Olinda, Bairro Novo",3 quartos | 76m² | Condomínio: R$ 1 | 1 vaga
2228,R$ 1.100.000,Ipojuca,3 quartos | 127m² | Condomínio: R$ 670 | 2 vagas
2229,R$ 299.156,"Recife, Encruzilhada",3 quartos | 70m² | Condomínio: R$ 550 | 1 vaga
2230,R$ 840.000,"Recife, Santo Amaro",4 quartos | 123m² | 2 vagas
2231,R$ 240.000,"Recife, Arruda",3 quartos | 115m² | Condomínio: R$ 550 | 1 vaga
2232,R$ 978.504,"Recife, Torre",1 quarto | 30m² | 1 vaga
2233,R$ 340.000,"Recife, Boa Viagem",2 quartos | 47m² | Condomínio: R$ 1 | 1 vaga
2234,R$ 180.000R$ 215.000,"Jaboatão dos Guararapes, Candeias",2 quartos | 49m² | Condomínio: R$ 1 | 1 vaga
2235,R$ 170.986,"Paulista, Pau Amarelo",4 quartos | 204m² | Condomínio: R$ 1.435 | 3 vagas
2236,R$ 124.531,"Paulista, Paratibe",3 quartos | 1 vaga
2237,R$ 1.749.000,"Recife, Monteiro",4 quartos | 136m² | 2 vagas
2238,R$ 317.000,"Olinda, Bairro Novo",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2239,R$ 930.000,"Recife, Boa Viagem",2 quartos | 45m² | Condomínio: R$ 1 | 1 vaga
2240,R$ 135.015,"Olinda, Rio Doce",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2241,R$ 146.789,"Camaragibe, Alberto Maia",2 quartos | 45m² | 1 vaga
2242,R$ 136.480,"Olinda, Rio Doce",2 quartos | 47m² | Condomínio: R$ 1 | 1 vaga
2243,R$ 134.000,"Jaboatão dos Guararapes, Candeias",3 quartos | 60m² | 1 vaga
2244,R$ 129.981,"Jaboatão dos Guararapes, Candeias",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2245,R$ 318.900,"Recife, Cordeiro",3 quartos | 80m² | Condomínio: R$ 700 | 1 vaga
2246,R$ 137.020,"Olinda, Rio Doce",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2247,R$ 420.000,"Olinda, Casa Caiada",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2248,R$ 138.318,"Olinda, Rio Doce",3 quartos | 89m² | 2 vagas
2249,R$ 139.200,"Olinda, Rio Doce",2 quartos | 47m² | Condomínio: R$ 1 | 1 vaga
2250,R$ 394.546,"Caruaru, Indianópolis",2 quartos | 50m² | 1 vaga
2251,R$ 176.234,"Recife, Caxangá",2 quartos | 50m² | 1 vaga
2252,R$ 264.901,"Recife, Rosarinho",2 quartos | 47m² | Condomínio: R$ 1 | 1 vaga
2253,R$ 260.000,"Recife, Rosarinho",4 quartos | 165m² | 3 vagas
2254,R$ 189.265,"Recife, Água Fria",2 quartos | 50m² | 1 vaga
2255,R$ 1.061.017,"Recife, Casa Forte",2 quartos | 45m² | Condomínio: R$ 1 | 1 vaga
2256,R$ 264.900,"Recife, Rosarinho",2 quartos | 45m² | Condomínio: R$ 0 | 1 vaga
2257,R$ 145.098,"Camaragibe, Santa Mônica",3 quartos | 92m² | 1 vaga
2258,R$ 190.000,"Recife, Caxangá",2 quartos | 42m² | 1 vaga
2259,R$ 730.235,Ipojuca,3 quartos | 68m² | 1 vaga
2260,R$ 153.000,"Jaboatão dos Guararapes, Engenho Velho",2 quartos | 50m² | 1 vaga
2261,R$ 306.000,"Recife, Cordeiro",2 quartos | 52m² | 1 vaga
2262,R$ 320.000,Recife,2 quartos | 47m² | Condomínio: R$ 1 | 1 vaga
2263,R$ 132.000,Paulista,3 quartos | 76m² | 1 vaga
2264,R$ 125.432,"Paulista, Janga",4 quartos | 165m² | 3 vagas
2265,R$ 240.000,"Paulista, Janga",3 quartos | 73m² | 1 vaga
2266,R$ 1.049.901,"Recife, Monteiro",2 quartos | 47m² | Condomínio: R$ 1 | 1 vaga
2267,R$ 320.934,"Caruaru, Indianópolis",2 quartos | 5547m² | 1 vaga
2268,R$ 145.678,"Paulista, Centro",3 quartos | 130m² | Condomínio: R$ 1.330 | 2 vagas
2269,R$ 470.000,"Recife, Torreão",1 quarto | 45m² | Condomínio: R$ 1.300
2270,R$ 679.999R$ 680.000,"Recife, Boa Viagem",2 quartos | 47m² | Condomínio: R$ 1 | 1 vaga
2271,R$ 189.999R$ 190.000,"Jaboatão dos Guararapes, Piedade",4 quartos | 130m² | 2 vagas
2272,R$ 190.876,"Recife, Tejipió",4 quartos | 165m² | 3 vagas
2273,R$ 820.000,"Recife, Ilha do Retiro",2 quartos | 50m² | Condomínio: R$ 550 | 1 vaga
2274,R$ 1.049.900,"Recife, Monteiro",2 quartos | 54m² | 1 vaga
2275,R$ 260.000,"Recife, Boa Viagem",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2276,R$ 243.201,"Jaboatão dos Guararapes, Candeias",3 quartos | 75m² | Condomínio: R$ 590 | 1 vaga
2277,R$ 155.460,"Paulista, Maranguape I",2 quartos | 42m² | Condomínio: R$ 1 | 1 vaga
2278,R$ 385.000R$ 440.000,"Olinda, Bairro Novo",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2279,R$ 150.987,"Jaboatão dos Guararapes, Barra de Jangada",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2280,R$ 156.502,"Paulista, Maranguape I",2 quartos | 51m² | 1 vaga
2281,R$ 154.040,"Paulista, Maranguape I",2 quartos | 1 vaga
2282,R$ 280.154,"Recife, Torre",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2283,R$ 369.500,"Olinda, Bairro Novo",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2284,R$ 157.612,"Paulista, Maranguape I",2 quartos | 42m² | Condomínio: R$ 1 | 1 vaga
2285,R$ 158.830,"Paulista, Maranguape I",3 quartos | 63m² | Condomínio: R$ 380 | 1 vaga
2286,R$ 151.237,"Olinda, Rio Doce",2 quartos | 1 vaga
2287,R$ 225.000,"Jaboatão dos Guararapes, Piedade",4 quartos | 123m² | 2 vagas
2288,R$ 184.000,"Paulista, Janga",2 quartos | 42m² | Condomínio: R$ 1 | 1 vaga
2289,R$ 734.901,"Recife, Torre",3 quartos | 81m² | Condomínio: R$ 600 | 1 vaga
2290,R$ 151.345,"Jaboatão dos Guararapes, Piedade",4 quartos | 208m² | Condomínio: R$ 1.107 | 2 vagas
2291,R$ 489.000R$ 530.000,"Recife, Rosarinho",3 quartos | 95m² | Condomínio: R$ 1.300 | 2 vagas
2292,R$ 650.000,"Recife, Graças",4 quartos | 123m² | 2 vagas
2293,R$ 550.000,"Recife, Boa Viagem",3 quartos
2294,R$ 734.900,"Recife, Monteiro",4 quartos | 121m² | 2 vagas
2295,R$ 115.000,"Jaboatão dos Guararapes, Candeias",2 quartos | 1 vaga
2296,R$ 819.195,"Recife, Santo Amaro",2 quartos | 0m² | 1 vaga
2297,R$ 240.000,"Olinda, Bairro Novo",2 quartos | 45m² | 1 vaga
2298,R$ 264.997,"Recife, Casa Amarela",2 quartos | 46m² | Condomínio: R$ 1 | 1 vaga
2299,R$ 137.000,"Olinda, Rio Doce",3 quartos | 100m² | Condomínio: R$ 0 | 1 vaga
2300,R$ 188.091,"Recife, Tejipió",3 quartos | 168m² | 2 vagas
2301,R$ 620.000,"Recife, Boa Viagem",2 quartos | 42m² | Condomínio: R$ 1 | 1 vaga
2302,R$ 1.050.000,"Recife, Boa Viagem",2 quartos | 42m² | Condomínio: R$ 1 | 1 vaga
2303,R$ 148.765,"Paulista, Maranguape I",3 quartos | 73m² | 1 vaga
2304,R$ 125.432,"Jaboatão dos Guararapes, Barra de Jangada",3 quartos | 63m² | Condomínio: R$ 700 | 1 vaga
2305,R$ 321.037,"Caruaru, Indianópolis",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2306,R$ 375.000R$ 380.000,"Recife, Encruzilhada",3 quartos | 97m² | 2 vagas
2307,R$ 88.123,"Jaboatão dos Guararapes, Marcos Freire",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2308,R$ 705.135,"Recife, Boa Viagem",2 quartos | Condomínio: R$ 240 | 1 vaga
2309,R$ 125.432,"Jaboatão dos Guararapes, Marcos Freire",4 quartos | 136m² | Condomínio: R$ 1.060 | 2 vagas
2310,R$ 155.000,Recife,2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2311,R$ 900.000,"Recife, Boa Viagem",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2312,R$ 145.063,"Jaboatão dos Guararapes, Piedade",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2313,R$ 146.213,"Jaboatão dos Guararapes, Piedade",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2314,R$ 147.530,"Jaboatão dos Guararapes, Piedade",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2315,R$ 124.532,"Jaboatão dos Guararapes, Sucupira",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2316,R$ 148.708,"Jaboatão dos Guararapes, Piedade",3 quartos | 104m² | Condomínio: R$ 450 | 2 vagas
2317,R$ 149.890,"Jaboatão dos Guararapes, Piedade",3 quartos | 80m² | 1 vaga
2318,R$ 245.000R$ 275.000,"Olinda, Rio Doce",4 quartos | 98m² | Condomínio: R$ 650 | 1 vaga
2319,R$ 495.901,"Recife, Rosarinho",2 quartos | 74m² | Condomínio: R$ 500 | 2 vagas
2320,R$ 260.000,"Recife, Tamarineira",3 quartos | 70m² | 1 vaga
2321,R$ 185.000,"Caruaru, Maurício de Nassau",3 quartos | 70m² | 1 vaga
2322,R$ 335.000,"Recife, Várzea",2 quartos | 50m² | 1 vaga
2323,R$ 347.000,"Recife, Várzea",3 quartos | 70m² | 1 vaga
2324,R$ 350.000,"Recife, Boa Viagem",3 quartos | 58m² | 2 vagas
2325,R$ 332.000,"Recife, Várzea",2 quartos | 50m² | Condomínio: R$ 0 | 1 vaga
2326,R$ 350.000,"Recife, Prado",3 quartos | 89m² | 2 vagas
2327,R$ 129.000,"São Lourenço da Mata, Muribara",4 quartos | 134m² | 2 vagas
2328,R$ 625.000,"Jaboatão dos Guararapes, Candeias",3 quartos | 70m² | 1 vaga
2329,R$ 850.000,"Jaboatão dos Guararapes, Candeias",3 quartos | 80m² | 1 vaga
2330,R$ 336.000,"Recife, Várzea",3 quartos | 59m² | 1 vaga
2331,R$ 495.900,"Recife, Rosarinho",3 quartos | 60m² | 1 vaga
2332,R$ 339.999,"Recife, Madalena",3 quartos | 63m² | 1 vaga
2333,R$ 319.000,"Recife, Cordeiro",3 quartos | 90m² | 2 vagas
2334,R$ 269.000,"Recife, Imbiribeira",3 quartos | 122m² | 3 vagas
2335,R$ 662.000R$ 680.000,"Recife, Madalena",5 ou mais quarto | 880m² | Condomínio: R$ 3.000 | 5 ou mais vaga
2336,R$ 815.676,"Recife, Casa Forte",3 quartos | 73m² | 1 vaga
2337,R$ 7.590.000,"Recife, Boa Viagem",2 quartos | 74m² | 1 vaga
2338,R$ 320.959,"Caruaru, Indianópolis",3 quartos | 0m² | 1 vaga
2339,R$ 380.000,"Recife, Aflitos",5 ou mais quarto | 880m² | Condomínio: R$ 3.000 | 5 ou mais vaga
2340,R$ 318.000,"Recife, Barro",5 ou mais quarto | 880m² | Condomínio: R$ 3.000 | 5 ou mais vaga
2341,R$ 7.500.090,"Recife, Boa Viagem",1 quarto | 35m² | Condomínio: R$ 360 | 1 vaga
2342,R$ 7.501.002,"Recife, Boa Viagem",1 quarto | 28m² | Condomínio: R$ 0 | 1 vaga
2343,R$ 172.375,"Recife, Várzea",2 quartos | 52m² | Condomínio: R$ 0 | 1 vaga
2344,R$ 272.000,Ipojuca,2 quartos | 49m² | Condomínio: R$ 0 | 1 vaga
2345,R$ 117.000,"Ipojuca, Suape",3 quartos | 80m² | Condomínio: R$ 457 | 2 vagas
2346,R$ 123.000,"São Lourenço da Mata, Parque Capibaribe",5 ou mais quarto | 880m² | Condomínio: R$ 3.000 | 5 ou mais vaga
2347,R$ 550.000,"Recife, Santo Amaro",4 quartos | 134m² | 3 vagas
2348,R$ 7.503.010,"Recife, Boa Viagem",4 quartos | 134m² | 3 vagas
2349,R$ 860.000,"Jaboatão dos Guararapes, Candeias",2 quartos | 1 vaga
2350,R$ 873.000,"Jaboatão dos Guararapes, Candeias",4 quartos | 250m² | Condomínio: R$ 1.600 | 2 vagas
2351,R$ 164.977,"Jaboatão dos Guararapes, Candeias",4 quartos | 134m² | 3 vagas
2352,R$ 950.000,"Recife, Ipsep",4 quartos | 135m² | 3 vagas
2353,R$ 890.000,"Jaboatão dos Guararapes, Candeias",3 quartos | 94m² | 2 vagas
2354,R$ 920.000,"Jaboatão dos Guararapes, Candeias",4 quartos | 162m² | 2 vagas
2355,R$ 820.000,"Recife, Boa Viagem",3 quartos | 61m² | 1 vaga
2356,R$ 1.290.000,"Recife, Boa Viagem",3 quartos | 58m² | Condomínio: R$ 0 | 1 vaga
2357,R$ 330.042,"Recife, Prado",2 quartos | 1 vaga
2358,R$ 285.000,"Recife, Encruzilhada",3 quartos | 89m² | Condomínio: R$ 0 | 2 vagas
2359,R$ 165.322,"Jaboatão dos Guararapes, Candeias",4 quartos | 580m² | 5 ou mais vaga
2360,R$ 614.000,"Jaboatão dos Guararapes, Candeias",2 quartos | 45m² | Condomínio: R$ 210 | 1 vaga
2361,R$ 3.500.000,"Cabo de Santo Agostinho, Paiva",3 quartos | 73m² | 1 vaga
2362,R$ 250.110,"Recife, Torre",2 quartos | 57m² | 1 vaga
2363,R$ 370.000,"Recife, Madalena",2 quartos | 1 vaga
2364,R$ 301.991,"Recife, Santo Amaro",4 quartos | 255m² | 3 vagas
2365,R$ 164.795,"Jaboatão dos Guararapes, Candeias",4 quartos | 188m² | 3 vagas
2366,R$ 2.239.057,"Recife, Casa Forte",3 quartos | 62m² | 1 vaga
2367,R$ 1.650.217,"Recife, 2 Irmãos",3 quartos | 97m² | 2 vagas
2368,R$ 330.000,"Recife, Prado",2 quartos | 55m² | 1 vaga
2369,R$ 690.000,"Jaboatão dos Guararapes, Candeias",4 quartos | 136m² | 2 vagas
2370,R$ 330.000,"Recife, Santo Amaro",4 quartos | 130m² | 2 vagas
2371,R$ 820.000,"Recife, Santo Amaro",4 quartos | 232m² | Condomínio: R$ 0 | 4 vagas
2372,R$ 890.000,"Recife, Boa Viagem",3 quartos | 59m² | Condomínio: R$ 0 | 1 vaga
2373,R$ 1.552.000,"Recife, Santo Antônio",2 quartos | 60m² | Condomínio: R$ 290 | 1 vaga
2374,R$ 388.000,"Recife, Ilha do Retiro",3 quartos | 58m² | 1 vaga
2375,R$ 191.000,"Recife, Macaxeira",3 quartos | 59m² | Condomínio: R$ 0 | 1 vaga
2376,R$ 350.000,Recife,2 quartos | 63m² | Condomínio: R$ 100 | 1 vaga
2377,R$ 360.000,"Recife, Ilha do Retiro",2 quartos | 57m² | 1 vaga
2378,R$ 180.000R$ 200.000,"Gravatá, Porta Florada",3 quartos | 67m² | Condomínio: R$ 0 | 1 vaga
2379,R$ 301.990,"Recife, Santo Amaro",3 quartos | 106m² | 2 vagas
2380,R$ 350.000R$ 399.000,"Recife, Pina",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2381,R$ 650.292,"Recife, Encruzilhada",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
2382,R$ 146.090,"Jaboatão dos Guararapes, Socorro",2 quartos | 41m² | Condomínio: R$ 1 | 1 vaga
