,prices,locations,other
174,R$ 310.000,"Cabo de Santo Agostinho, Nossa Senhora do Rosário",0m²
175,R$ 895.000R$ 3.046.327,"Jaboatão dos Guararapes, Piedade",4 quartos | 231m² | Condomínio: R$ 1.620 | 3 vagas
176,R$ 340.000,"Olinda, Casa Caiada",3 quartos | 73m² | 1 vaga
177,R$ 890.000,"Recife, Boa Viagem",4 quartos | 140m² | Condomínio: R$ 1.000 | 2 vagas
178,R$ 700.000,Ipojuca,0m²
179,R$ 650.000,Ipojuca,0m²
180,R$ 600.000,"Recife, Boa Viagem",3 quartos | 95m² | 2 vagas
181,R$ 400.000,"Gravatá, Nossa Senhora das Graças",0m²
182,R$ 235.000,"Recife, Cordeiro",3 quartos | 85m² | Condomínio: R$ 200 | 1 vaga
183,R$ 815.598,"Recife, Casa Forte",3 quartos | 122m² | 3 vagas
184,R$ 150.195,"Paulista, Maranguape I",2 quartos | 41m² | 1 vaga
185,R$ 530.000,"Jaboatão dos Guararapes, Piedade",3 quartos | 110m² | Condomínio: R$ 600 | 2 vagas
186,R$ 120.000,"Jaboatão dos Guararapes, Barra de Jangada",2 quartos | 42m² | 1 vaga
187,R$ 117.000,"Paulista, Maranguape I",2 quartos | 42m² | 1 vaga
188,R$ 959.999,"Recife, Boa Viagem",4 quartos | 138m² | 2 vagas
189,R$ 124.577,"São Lourenço da Mata, Muribara",2 quartos | 50m² | 1 vaga
190,R$ 144.000,"Paulista, Centro",2 quartos | 45m² | 1 vaga
191,R$ 189.980,"Recife, Cajueiro",2 quartos | 49m² | Condomínio: R$ 0 | 2 vagas
192,R$ 251.000,"Recife, Boa Vista",2 quartos | 42m² | 1 vaga
193,R$ 156.000,"Jaboatão dos Guararapes, Socorro",2 quartos | 42m² | Condomínio: R$ 0 | 1 vaga
194,R$ 176.162,"Recife, Várzea",2 quartos | 49m² | 1 vaga
195,R$ 750.000,"Recife, Boa Viagem",4 quartos | 160m² | 2 vagas
196,R$ 580.000,"Recife, Boa Viagem",3 quartos | 97m² | 2 vagas
197,R$ 680.000,"Recife, Boa Viagem",3 quartos | 106m² | Condomínio: R$ 700 | 2 vagas
198,R$ 374.000R$ 376.641,"Jaboatão dos Guararapes, Piedade",2 quartos | 56m² | Condomínio: R$ 320 | 2 vagas
199,R$ 2.023.654,"Recife, Boa Viagem",4 quartos | 175m² | 3 vagas
200,R$ 470.000R$ 475.000,"Recife, Tamarineira",3 quartos | 84m² | Condomínio: R$ 550 | 2 vagas
201,R$ 635.000,"Recife, Boa Viagem",3 quartos | 146m² | 2 vagas
202,R$ 390.000,"Recife, Boa Viagem",2 quartos | 58m² | Condomínio: R$ 350 | 1 vaga
203,R$ 148.272,"Jaboatão dos Guararapes, Candeias",2 quartos | 48m² | 1 vaga
204,R$ 260.000,"Recife, Casa Amarela",3 quartos | 90m² | Condomínio: R$ 400 | 1 vaga
205,R$ 111.000,"Jaboatão dos Guararapes, Jardim Jordão",2 quartos | 56m² | 1 vaga
206,R$ 220.000,"Jaboatão dos Guararapes, Piedade",3 quartos | 78m² | 2 vagas
207,R$ 150.000,"Recife, Iputinga",2 quartos | 0m² | 1 vaga
208,R$ 245.000,"Olinda, Jardim Atlântico",3 quartos | 68m² | Condomínio: R$ 180 | 1 vaga
209,R$ 129.000,"Xexéu, Centro",1 quarto | 22m² | 1 vaga
210,,"Recife, Encruzilhada",3 quartos | 72m² | Condomínio: R$ 450 | 1 vaga
